position,source,story_key,time,userid
2,msnbc,7,1431952755,30602
0,foxnews,4,1431952816,37398
1,msnbc,9,1431952816,37398
2,cnn,5,1431952816,37398
0,foxnews,8,1431952953,78114
1,msnbc,4,1431952953,78114
2,cnn,7,1431952953,78114
0,cnn,1,1431952981,71978
1,foxnews,5,1431952981,71978
2,msnbc,0,1431952981,71978
0,cnn,6,1431953130,50334
1,msnbc,3,1431953130,50334
2,foxnews,5,1431953130,50334
0,cnn,6,1431953138,58038
1,foxnews,8,1431953138,58038
2,msnbc,0,1431953138,58038
0,foxnews,6,1431953318,68604
1,msnbc,7,1431953318,68604
2,cnn,4,1431953318,68604
0,cnn,9,1431953433,96752
1,msnbc,4,1431953433,96752
2,foxnews,1,1431953433,96752
0,cnn,1,1431953484,71978
1,foxnews,5,1431953484,71978
2,msnbc,0,1431953484,71978
0,cnn,7,1431953511,61652
1,msnbc,2,1431953511,61652
2,foxnews,0,1431953511,61652
0,cnn,9,1431953528,96752
1,msnbc,4,1431953528,96752
2,foxnews,1,1431953528,96752
0,cnn,0,1431953695,15763
1,msnbc,4,1431953695,15763
2,foxnews,8,1431953695,15763
0,msnbc,4,1431953803,84487
1,cnn,9,1431953803,84487
2,foxnews,5,1431953803,84487
0,foxnews,8,1431953928,21518
1,cnn,3,1431953928,21518
2,msnbc,2,1431953928,21518
0,msnbc,7,1431954009,90133
1,cnn,9,1431954009,90133
2,foxnews,2,1431954009,90133
0,foxnews,1,1431954093,49628
1,msnbc,7,1431954093,49628
2,cnn,0,1431954093,49628
0,cnn,6,1431954168,18760
1,foxnews,7,1431954168,18760
2,msnbc,3,1431954168,18760
0,cnn,2,1431954305,68247
1,foxnews,4,1431954305,68247
2,msnbc,9,1431954305,68247
0,foxnews,2,1431954371,26442
1,cnn,5,1431954371,26442
2,msnbc,8,1431954371,26442
0,msnbc,5,1431954383,86221
1,cnn,7,1431954383,86221
2,foxnews,1,1431954383,86221
0,foxnews,0,1431954427,14725
1,cnn,4,1431954427,14725
2,msnbc,6,1431954427,14725
0,foxnews,7,1431954455,1388
1,msnbc,2,1431954455,1388
2,cnn,8,1431954455,1388
0,cnn,1,1431954467,22613
1,foxnews,6,1431954467,22613
2,msnbc,3,1431954467,22613
0,msnbc,6,1431954577,17718
1,foxnews,8,1431954577,17718
2,cnn,1,1431954577,17718
0,foxnews,5,1431954594,14402
1,msnbc,9,1431954594,14402
2,cnn,4,1431954594,14402
0,msnbc,8,1431954633,62780
1,cnn,9,1431954633,62780
2,foxnews,7,1431954633,62780
0,msnbc,3,1431954663,39621
1,foxnews,0,1431954663,39621
2,cnn,2,1431954663,39621
0,cnn,1,1431954706,7871
1,foxnews,9,1431954706,7871
2,msnbc,4,1431954706,7871
0,cnn,6,1431954904,73215
1,foxnews,3,1431954904,73215
2,msnbc,8,1431954904,73215
0,foxnews,3,1431954962,52514
1,msnbc,0,1431954962,52514
2,cnn,2,1431954962,52514
0,cnn,0,1431955004,85269
1,foxnews,1,1431955004,85269
2,msnbc,5,1431955004,85269
0,msnbc,2,1431955238,14082
1,cnn,8,1431955238,14082
2,foxnews,0,1431955238,14082
0,foxnews,4,1431955263,4875
1,msnbc,1,1431955263,4875
2,cnn,6,1431955263,4875
0,foxnews,3,1431955391,2025
1,msnbc,8,1431955391,2025
2,cnn,5,1431955391,2025
0,cnn,1,1431955624,26394
1,foxnews,9,1431955624,26394
2,msnbc,3,1431955624,26394
0,foxnews,9,1431955677,26499
1,cnn,6,1431955677,26499
2,msnbc,1,1431955677,26499
0,msnbc,6,1431955701,42071
1,cnn,5,1431955701,42071
2,foxnews,4,1431955701,42071
0,msnbc,6,1431955759,3856
1,cnn,2,1431955759,3856
2,foxnews,5,1431955759,3856
0,msnbc,1,1431955802,72517
1,cnn,0,1431955802,72517
2,foxnews,6,1431955802,72517
0,foxnews,4,1431955836,28665
1,cnn,9,1431955836,28665
2,msnbc,5,1431955836,28665
0,msnbc,5,1431955993,34694
1,foxnews,1,1431955993,34694
2,cnn,3,1431955993,34694
0,cnn,9,1431956165,12396
1,msnbc,5,1431956165,12396
2,foxnews,2,1431956165,12396
0,cnn,6,1431956264,6072
1,msnbc,5,1431956264,6072
2,foxnews,8,1431956264,6072
0,cnn,9,1431956313,37254
1,msnbc,4,1431956313,37254
2,foxnews,6,1431956313,37254
0,foxnews,1,1431956418,5477
1,cnn,9,1431956418,5477
2,msnbc,3,1431956418,5477
0,foxnews,8,1431956478,79228
1,msnbc,4,1431956478,79228
2,cnn,5,1431956478,79228
0,msnbc,0,1431956496,43705
1,cnn,8,1431956496,43705
2,foxnews,5,1431956496,43705
0,foxnews,8,1431956528,79228
1,msnbc,4,1431956528,79228
2,cnn,5,1431956528,79228
0,foxnews,6,1431956719,10121
1,msnbc,8,1431956719,10121
2,cnn,5,1431956719,10121
0,msnbc,7,1431956785,19459
1,foxnews,0,1431956785,19459
2,cnn,3,1431956785,19459
0,cnn,9,1431956848,79402
1,foxnews,1,1431956848,79402
2,msnbc,7,1431956848,79402
0,cnn,2,1431956861,11960
1,msnbc,0,1431956861,11960
2,foxnews,3,1431956861,11960
0,foxnews,3,1431956935,16602
1,msnbc,9,1431956935,16602
2,cnn,2,1431956935,16602
0,msnbc,5,1431957588,98692
1,foxnews,0,1431957588,98692
2,cnn,3,1431957588,98692
0,msnbc,9,1431965210,41365
1,foxnews,7,1431965210,41365
2,cnn,8,1431965210,41365
0,cnn,7,1431967895,3181
1,msnbc,8,1431967895,3181
2,foxnews,3,1431967895,3181
0,cnn,4,1431972089,94374
1,msnbc,7,1431972089,94374
2,foxnews,9,1431972089,94374
